TRAB_RENDA_BRUTA,TRAB_AREA,TRAB_OCUPACAO,CAMPUS,CURSO,ANO_CONCLUSAO,Sheet,MODALIDADE,NOME_DATAFRAME
(00) Sem rendimento,"Sim, totalmente na área (exerce a profissão)",(2) Trabalham e estudam,Natal - Cidade Alta,Técnico em Guia de Turismo,2014,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(00) Sem rendimento,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Natal - Central,Técnico em Controle Ambiental,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(00) Sem rendimento,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Caicó,Técnico em Vestuário,2017,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(00) Sem rendimento,"Sim, totalmente na área (exerce a profissão)",(2) Trabalham e estudam,Caicó,Técnico em Informática,2015,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(00) Sem rendimento,"Parcialmente na área, tem correlação com a formação",(2) Trabalham e estudam,Educação à Distância (EaD),Especialização em Literatura e Ensino,2016,PAE2018-2019_selected_data_renamed.xlsx,Especialização,PAE2018-2019
(00) Sem rendimento,"Parcialmente na área, tem correlação com a formação",(2) Trabalham e estudam,Natal - Cidade Alta,Técnico em Guia de Turismo,2013,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(00) Sem rendimento,"Parcialmente na área, tem correlação com a formação",(2) Trabalham e estudam,Ipanguaçu,Técnico em Informática,2013,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(00) Sem rendimento,"Parcialmente na área, tem correlação com a formação",(2) Trabalham e estudam,João Câmara,Técnico em Administração,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(00) Sem rendimento,"Parcialmente na área, tem correlação com a formação",(2) Trabalham e estudam,João Câmara,Técnico em Administração,2016,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(00) Sem rendimento,"Sim, totalmente na área (exerce a profissão)",(1) Trabalham,Natal - Central,Tecnologia em Análise e Desenvolvimento de Sistemas,2018,PAE2018-2019_selected_data_renamed.xlsx,Tecnologia,PAE2018-2019
(00) Sem rendimento,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Natal - Central,Técnico em Segurança do Trabalho,2017,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(00) Sem rendimento,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Natal - Cidade Alta,Técnico em Eventos,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(00) Sem rendimento,"Não, meu trabalho é em outra área de formação",(1) Trabalham,Parnamirim,Técnico em Informática,2013,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(00) Sem rendimento,"Parcialmente na área, tem correlação com a formação",(2) Trabalham e estudam,Natal - Central,Técnico em Petróleo e Gás,2017,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(00) Sem rendimento,"Parcialmente na área, tem correlação com a formação",(1) Trabalham,Educação à Distância (EaD),Especialização em Ensino de Matemática para o Ensino Médio,2016,PAE2018-2019_selected_data_renamed.xlsx,Especialização,PAE2018-2019
(01) Até 1 salário mínimo,"Sim, totalmente na área (exerce a profissão)",(2) Trabalham e estudam,Educação à Distância (EaD),"Aperfeiçoamento para Professores dos Municípios do Rio Grande do Norte: Língua Portuguesa, Matemática e Cidadania",2016,PAE2018-2019_selected_data_renamed.xlsx,Aperfeiçoamento,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Natal - Central,Técnico em Mineração,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(1) Trabalham,Educação à Distância (EaD),Técnico em Secretaria Escolar,2015,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Sim, totalmente na área (exerce a profissão)",(2) Trabalham e estudam,Educação à Distância (EaD),Técnico em Secretaria Escolar,2015,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(2) Trabalham e estudam,Santa Cruz,Técnico em Informática,2014,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(2) Trabalham e estudam,Nova Cruz,Técnico em Informática,2017,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(1) Trabalham,Mossoró,Técnico em Edificações,2013,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
